"season_name","census_date_start","census_date_end","census_days","surveyed_san_telmo","header_notes","header_id"
"2012/13",2013-01-25,2013-01-25,1,TRUE,NA,25
"2012/13",2013-02-01,2013-02-01,1,TRUE,NA,26
"2012/13",2013-02-08,2013-02-08,1,TRUE,NA,27
"2012/13",2013-02-15,2013-02-15,1,TRUE,NA,28
"2012/13",2013-02-22,2013-02-22,1,TRUE,NA,29
"2013/14",2013-11-08,2013-11-08,1,TRUE,NA,30
"2013/14",2013-11-15,2013-11-15,1,TRUE,NA,31
"2013/14",2013-11-22,2013-11-22,1,TRUE,NA,32
"2013/14",2013-11-28,2013-11-28,1,TRUE,NA,33
"2013/14",2013-12-15,2013-12-15,1,TRUE,NA,34
"2013/14",2013-12-19,2013-12-20,2,TRUE,NA,35
"2013/14",2013-12-27,2013-12-27,1,TRUE,NA,36
"2013/14",2014-01-03,2014-01-04,2,TRUE,NA,37
"2013/14",2014-01-10,2014-01-10,1,TRUE,NA,38
"2013/14",2014-01-17,2014-01-17,1,TRUE,NA,39
"2013/14",2014-01-24,2014-01-24,1,TRUE,NA,40
"2013/14",2014-01-31,2014-01-31,1,TRUE,NA,41
"2013/14",2014-02-07,2014-02-07,1,TRUE,NA,42
"2013/14",2014-02-14,2014-02-14,1,TRUE,NA,43
"2013/14",2014-02-22,2014-02-22,1,TRUE,NA,44
"2013/14",2014-03-01,2014-03-01,1,TRUE,NA,45
"2014/15",2014-11-08,2014-11-08,1,TRUE,NA,46
"2014/15",2014-11-14,2014-11-14,1,TRUE,NA,47
"2014/15",2014-11-21,2014-11-21,1,TRUE,NA,48
"2014/15",2014-11-29,2014-11-29,1,TRUE,NA,49
"2014/15",2014-12-05,2014-12-06,2,TRUE,NA,50
"2014/15",2014-12-13,2014-12-13,1,TRUE,NA,51
"2014/15",2014-12-19,2014-12-19,1,TRUE,NA,52
"2014/15",2014-12-26,2014-12-26,1,TRUE,NA,53
"2014/15",2015-01-02,2015-01-02,1,TRUE,NA,54
"2014/15",2015-01-09,2015-01-09,1,TRUE,NA,55
"2014/15",2015-01-16,2015-01-16,1,TRUE,NA,56
"2014/15",2015-01-23,2015-01-23,1,TRUE,NA,57
"2014/15",2015-01-30,2015-01-30,1,TRUE,NA,58
"2014/15",2015-02-06,2015-02-06,1,TRUE,NA,59
"2014/15",2015-02-13,2015-02-13,1,TRUE,NA,60
"2014/15",2015-02-20,2015-02-20,1,TRUE,NA,61
"2014/15",2015-02-27,2015-02-27,1,TRUE,NA,62
"2015/16",2015-10-31,2015-10-31,1,TRUE,NA,63
"2015/16",2015-11-05,2015-11-05,1,TRUE,NA,64
"2015/16",2015-11-13,2015-11-13,1,TRUE,NA,65
"2015/16",2015-11-20,2015-11-20,1,TRUE,NA,66
"2015/16",2015-11-27,2015-11-27,1,TRUE,NA,67
"2015/16",2015-12-04,2015-12-04,1,TRUE,NA,68
"2015/16",2015-12-11,2015-12-11,1,TRUE,NA,69
"2015/16",2015-12-18,2015-12-18,1,TRUE,NA,70
"2015/16",2015-12-25,2015-12-25,1,TRUE,NA,71
"2015/16",2016-01-01,2016-01-01,1,TRUE,NA,72
"2015/16",2016-01-09,2016-01-09,1,TRUE,NA,73
"2015/16",2016-01-15,2016-01-15,1,TRUE,NA,74
"2015/16",2016-01-22,2016-01-22,1,TRUE,NA,75
"2015/16",2016-01-29,2016-01-29,1,TRUE,NA,76
"2015/16",2016-02-05,2016-02-05,1,TRUE,NA,77
"2015/16",2016-02-12,2016-02-12,1,TRUE,NA,78
"2015/16",2016-02-19,2016-02-19,1,TRUE,NA,79
"2015/16",2016-02-26,2016-02-26,1,TRUE,NA,80
"2015/16",2016-03-04,2016-03-04,1,TRUE,NA,81
"2015/16",2016-03-11,2016-03-11,1,TRUE,NA,82
"2016/17",2016-11-04,2016-11-04,1,TRUE,NA,83
"2016/17",2016-11-11,2016-11-11,1,TRUE,NA,84
"2016/17",2016-11-18,2016-11-18,1,TRUE,NA,85
"2016/17",2016-11-25,2016-11-25,1,TRUE,NA,86
"2016/17",2016-12-02,2016-12-02,1,TRUE,NA,87
"2016/17",2016-12-09,2016-12-09,1,TRUE,NA,88
"2016/17",2016-12-16,2016-12-16,1,TRUE,NA,89
"2016/17",2016-12-23,2016-12-23,1,TRUE,NA,90
"2016/17",2016-12-30,2016-12-30,1,TRUE,NA,91
"2016/17",2017-01-07,2017-01-07,1,TRUE,NA,92
"2016/17",2017-01-13,2017-01-13,1,TRUE,NA,93
"2016/17",2017-01-20,2017-01-20,1,TRUE,NA,94
"2016/17",2017-01-27,2017-01-27,1,TRUE,NA,95
"2016/17",2017-02-03,2017-02-03,1,TRUE,NA,96
"2016/17",2017-02-10,2017-02-10,1,TRUE,NA,97
"2016/17",2017-02-17,2017-02-18,2,TRUE,NA,98
"2016/17",2017-02-24,2017-02-24,1,TRUE,NA,99
"2016/17",2017-03-03,2017-03-03,1,TRUE,NA,100
"2016/17",2017-03-10,2017-03-10,1,TRUE,NA,101
"2017/18",2017-11-03,2017-11-03,1,TRUE,NA,102
"2017/18",2017-11-10,2017-11-10,1,TRUE,NA,103
"2017/18",2017-11-17,2017-11-17,1,TRUE,NA,104
"2017/18",2017-11-24,2017-11-24,1,TRUE,NA,105
"2017/18",2017-12-01,2017-12-01,1,TRUE,NA,106
"2017/18",2017-12-09,2017-12-09,1,TRUE,NA,107
"2017/18",2017-12-15,2017-12-15,1,TRUE,NA,108
"2017/18",2017-12-22,2017-12-22,1,TRUE,NA,109
"2017/18",2017-12-29,2017-12-30,2,TRUE,NA,110
"2017/18",2018-01-05,2018-01-05,1,TRUE,NA,111
"2017/18",2018-01-13,2018-01-13,1,TRUE,NA,112
"2017/18",2018-01-19,2018-01-19,1,TRUE,NA,113
"2017/18",2018-01-26,2018-01-26,1,TRUE,NA,114
"2017/18",2018-02-02,2018-02-02,1,TRUE,NA,115
"2017/18",2018-02-09,2018-02-09,1,TRUE,NA,116
"2017/18",2018-02-16,2018-02-16,1,TRUE,NA,117
"2017/18",2018-02-23,2018-02-23,1,TRUE,NA,118
"2017/18",2018-03-02,2018-03-02,1,TRUE,NA,119
"2017/18",2018-03-09,2018-03-09,1,TRUE,NA,120
"2018/19",2018-12-21,2018-12-21,1,FALSE,NA,121
"2018/19",2018-12-28,2018-12-28,1,TRUE,NA,122
"2018/19",2019-01-04,2019-01-04,1,TRUE,NA,123
"2018/19",2019-01-11,2019-01-11,1,TRUE,NA,124
"2018/19",2019-01-18,2019-01-18,1,TRUE,NA,125
"2018/19",2019-01-25,2019-01-25,1,TRUE,NA,126
"2018/19",2019-02-01,2019-02-01,1,TRUE,NA,127
"2018/19",2019-02-08,2019-02-08,1,TRUE,NA,128
"2018/19",2019-02-15,2019-02-15,1,TRUE,NA,129
"2018/19",2019-02-22,2019-02-22,1,TRUE,NA,130
"2018/19",2019-03-01,2019-03-01,1,TRUE,NA,131
"2018/19",2019-03-08,2019-03-08,1,TRUE,NA,132
"2019/20",2019-12-13,2019-12-13,1,FALSE,NA,133
"2019/20",2019-12-20,2019-12-20,1,TRUE,NA,134
"2019/20",2019-12-27,2019-12-27,1,TRUE,NA,135
"2019/20",2020-01-03,2020-01-03,1,TRUE,NA,136
"2019/20",2020-01-10,2020-01-10,1,TRUE,NA,137
"2019/20",2020-01-17,2020-01-17,1,TRUE,NA,138
"2019/20",2020-01-24,2020-01-24,1,TRUE,NA,139
"2019/20",2020-01-31,2020-01-31,1,TRUE,NA,140
"2019/20",2020-02-07,2020-02-07,1,TRUE,NA,141
"2019/20",2020-02-14,2020-02-14,1,TRUE,NA,142
"2019/20",2020-02-21,2020-02-21,1,TRUE,NA,143
"2019/20",2020-02-28,2020-02-28,1,TRUE,NA,144
"2019/20",2020-03-06,2020-03-06,1,TRUE,NA,145
"2021/22",2021-11-26,2021-11-26,1,TRUE,NA,146
"2021/22",2021-12-02,2021-12-02,1,TRUE,NA,147
"2021/22",2021-12-10,2021-12-10,1,TRUE,NA,148
